tempo,angulo
0,"-2,166"
"0,0167","-2,145"
"0,0334","-2,114"
"0,0501","-2,089"
"0,0667","-2,045"
"0,0834","-1,987"
"0,1","-1,941"
"0,117","-1,877"
"0,133","-1,787"
"0,15","-1,715"
"0,167","-1,654"
"0,184","-1,572"
"0,2","-1,489"
"0,217","-1,424"
"0,234","-1,352"
"0,25","-1,29"
"0,267","-1,22"
"0,284","-1,166"
"0,3","-1,132"
"0,317","-1,101"
"0,334","-1,067"
"0,35","-1,049"
"0,367","-1,031"
"0,384","-1,046"
"0,4","-1,058"
"0,417","-1,087"
"0,434","-1,112"
"0,45","-1,148"
"0,467","-1,191"
"0,484","-1,25"
"0,501","-1,3"
"0,517","-1,38"
"0,534","-1,433"
"0,551","-1,5"
"0,567","-1,571"
"0,584","-1,643"
"0,601","-1,711"
"0,617","-1,772"
"0,634","-1,833"
"0,651","-1,892"
"0,667","-1,924"
"0,684","-1,965"
"0,701","-2,005"
"0,717","-2,034"
"0,734","-2,055"
"0,751","-2,06"
"0,767","-2,066"
"0,784","-2,046"
"0,801","-2,025"
"0,818","-2,017"
"0,834","-1,98"
"0,851","-1,938"
"0,868","-1,895"
"0,884","-1,862"
"0,901","-1,813"
"0,918","-1,751"
"0,934","-1,689"
"0,951","-1,633"
"0,968","-1,582"
"0,984","-1,504"
"1,001","-1,443"
"1,018","-1,385"
"1,034","-1,347"
"1,051","-1,298"
"1,068","-1,274"
"1,084","-1,223"
"1,101","-1,186"
"1,118","-1,171"
"1,135","-1,144"
"1,151","-1,143"
"1,168","-1,159"
"1,185","-1,177"
"1,201","-1,191"
"1,218","-1,218"
"1,235","-1,237"
"1,251","-1,277"
"1,268","-1,325"
"1,285","-1,382"
"1,301","-1,424"
"1,318","-1,469"
"1,335","-1,516"
"1,351","-1,581"
"1,368","-1,638"
"1,385","-1,685"
"1,401","-1,742"
"1,418","-1,772"
"1,435","-1,834"
"1,452","-1,885"
"1,468","-1,914"
"1,485","-1,946"
"1,502","-1,959"
"1,518","-1,97"
"1,535","-1,982"
"1,552","-1,982"
"1,568","-1,966"
"1,585","-1,935"
"1,602","-1,912"
"1,618","-1,893"
"1,635","-1,857"
"1,652","-1,815"
"1,668","-1,763"
"1,685","-1,742"
"1,702","-1,679"
"1,718","-1,638"
"1,735","-1,607"
"1,752","-1,526"
"1,768","-1,503"
"1,785","-1,452"
"1,802","-1,404"
"1,819","-1,364"
"1,835","-1,332"
"1,852","-1,298"
"1,869","-1,256"
"1,885","-1,238"
"1,902","-1,229"
"1,919","-1,231"
"1,935","-1,234"
"1,952","-1,243"
"1,969","-1,248"
"1,985","-1,266"
"2,002","-1,277"
"2,019","-1,3"
"2,035","-1,309"
"2,052","-1,343"
"2,069","-1,427"
"2,085","-1,464"
"2,102","-1,495"
"2,119","-1,561"
"2,136","-1,577"
"2,152","-1,628"
"2,169","-1,684"
"2,186","-1,721"
"2,202","-1,762"
"2,219","-1,812"
"2,236","-1,834"
"2,252","-1,847"
"2,269","-1,888"
"2,286","-1,908"
"2,302","-1,912"
"2,319","-1,896"
"2,336","-1,896"
"2,352","-1,875"
"2,369","-1,86"
"2,386","-1,85"
"2,402","-1,838"
"2,419","-1,813"
"2,436","-1,768"
"2,453","-1,731"
"2,469","-1,689"
"2,486","-1,633"
"2,503","-1,608"
"2,519","-1,587"
"2,536","-1,541"
"2,553","-1,506"
"2,569","-1,464"
"2,586","-1,414"
"2,603","-1,404"
"2,619","-1,366"
"2,636","-1,316"
"2,653","-1,308"
"2,669","-1,298"
"2,686","-1,279"
"2,703","-1,271"
"2,719","-1,275"
"2,736","-1,293"
"2,753","-1,311"
"2,77","-1,33"
"2,786","-1,346"
"2,803","-1,366"
"2,82","-1,401"
"2,836","-1,414"
"2,853","-1,445"
"2,87","-1,515"
"2,886","-1,54"
"2,903","-1,561"
"2,92","-1,613"
"2,936","-1,638"
"2,953","-1,675"
"2,97","-1,731"
"2,986","-1,768"
"3,003","-1,79"
"3,02","-1,805"
"3,036","-1,837"
"3,053","-1,857"
"3,07","-1,862"
"3,087","-1,879"
"3,103","-1,872"
"3,12","-1,852"
"3,137","-1,839"
"3,153","-1,818"
"3,17","-1,797"
"3,187","-1,771"
"3,203","-1,761"
"3,22","-1,731"
"3,237","-1,694"
"3,253","-1,658"
"3,27","-1,618"
"3,287","-1,587"
"3,303","-1,567"
"3,32","-1,526"
"3,337","-1,471"
"3,353","-1,443"
"3,37","-1,423"
"3,387","-1,393"
"3,404","-1,377"
"3,42","-1,35"
"3,437","-1,335"
"3,454","-1,32"
"3,47","-1,32"
"3,487","-1,32"
"3,504","-1,33"
"3,52","-1,341"
"3,537","-1,371"
"3,554","-1,38"
"3,57","-1,4"
"3,587","-1,411"
"3,604","-1,443"
"3,62","-1,485"
"3,637","-1,51"
"3,654","-1,546"
"3,67","-1,572"
"3,687","-1,598"
"3,704","-1,633"
"3,721","-1,669"
"3,737","-1,689"
"3,754","-1,725"
"3,771","-1,752"
"3,787","-1,782"
"3,804","-1,787"
"3,821","-1,806"
"3,837","-1,812"
"3,854","-1,827"
"3,871","-1,832"
"3,887","-1,832"
"3,904","-1,814"
"3,921","-1,791"
"3,937","-1,776"
"3,954","-1,736"
"3,971","-1,721"
"3,987","-1,71"
"4,004","-1,669"
"4,021","-1,669"
"4,038","-1,628"
"4,054","-1,602"
"4,071","-1,572"
"4,088","-1,546"
"4,104","-1,5"
"4,121","-1,479"
"4,138","-1,444"
"4,154","-1,416"
"4,171","-1,397"
"4,188","-1,384"
"4,204","-1,371"
"4,221","-1,364"
"4,238","-1,361"
"4,254","-1,359"
"4,271","-1,359"
"4,288","-1,38"
"4,304","-1,395"
"4,321","-1,416"
"4,338","-1,423"
"4,355","-1,443"
"4,371","-1,464"
"4,388","-1,469"
"4,405","-1,504"
"4,421","-1,547"
"4,438","-1,551"
"4,455","-1,587"
"4,471","-1,623"
"4,488","-1,659"
"4,505","-1,675"
"4,521","-1,694"
"4,538","-1,71"
"4,555","-1,73"
"4,571","-1,751"
"4,588","-1,776"
"4,605","-1,791"
"4,621","-1,801"
"4,638","-1,797"
"4,655","-1,792"
"4,671","-1,782"
"4,688","-1,772"
"4,705","-1,757"
"4,722","-1,742"
"4,738","-1,727"
"4,755","-1,701"
"4,772","-1,685"
"4,788","-1,654"
"4,805","-1,633"
"4,822","-1,597"
"4,838","-1,567"
"4,855","-1,556"
"4,872","-1,52"
"4,888","-1,504"
"4,905","-1,474"
"4,922","-1,449"
"4,938","-1,424"
"4,955","-1,4"
"4,972","-1,399"
"4,988","-1,389"
"5,005","-1,379"
"5,022","-1,369"
"5,039","-1,384"
"5,055","-1,394"
"5,072","-1,404"
"5,089","-1,419"
"5,105","-1,426"
"5,122","-1,441"
"5,139","-1,463"
"5,155","-1,489"
"5,172","-1,525"
"5,189","-1,541"
"5,205","-1,566"
"5,222","-1,582"
"5,239","-1,602"
"5,255","-1,623"
"5,272","-1,679"
"5,289","-1,7"
"5,305","-1,71"
"5,322","-1,73"
"5,339","-1,761"
"5,356","-1,766"
"5,372","-1,75"
"5,389","-1,756"
"5,406","-1,771"
"5,422","-1,771"
"5,439","-1,776"
"5,456","-1,771"
"5,472","-1,73"
"5,489","-1,71"
"5,506","-1,711"
"5,522","-1,705"
"5,539","-1,679"
"5,556","-1,654"
"5,572","-1,633"
"5,589","-1,623"
"5,606","-1,608"
"5,622","-1,587"
"5,639","-1,547"
"5,656","-1,506"
"5,673","-1,488"
"5,689","-1,473"
"5,706","-1,464"
"5,723","-1,444"
"5,739","-1,423"
"5,756","-1,406"
"5,773","-1,397"
"5,789","-1,4"
"5,806","-1,4"
"5,823","-1,42"
"5,839","-1,426"
"5,856","-1,441"
"5,873","-1,444"
"5,889","-1,464"
"5,906","-1,484"
"5,923","-1,499"
"5,939","-1,52"
"5,956","-1,545"
"5,973","-1,561"
"5,99","-1,587"
"6,006","-1,608"
"6,023","-1,628"
"6,04","-1,643"
"6,056","-1,648"
"6,073","-1,669"
"6,09","-1,699"
"6,106","-1,71"
"6,123","-1,727"
"6,14","-1,731"
"6,156","-1,742"
"6,173","-1,752"
"6,19","-1,752"
"6,206","-1,746"
"6,223","-1,736"
"6,24","-1,715"
"6,256","-1,7"
"6,273","-1,69"
"6,29","-1,669"
"6,307","-1,664"
"6,323","-1,644"
"6,34","-1,628"
"6,357","-1,608"
"6,373","-1,597"
"6,39","-1,572"
"6,407","-1,552"
"6,423","-1,531"
"6,44","-1,521"
"6,457","-1,485"
"6,473","-1,47"
"6,49","-1,454"
"6,507","-1,454"
"6,523","-1,444"
"6,54","-1,434"
"6,557","-1,429"
"6,573","-1,429"
"6,59","-1,434"
"6,607","-1,443"
"6,624","-1,443"
"6,64","-1,459"
"6,657","-1,464"
"6,674","-1,48"
"6,69","-1,49"
"6,707","-1,5"
"6,724","-1,51"
"6,74","-1,53"
"6,757","-1,551"
"6,774","-1,567"
"6,79","-1,582"
"6,807","-1,608"
"6,824","-1,628"
"6,84","-1,648"
"6,857","-1,669"
"6,874","-1,684"
"6,89","-1,705"
"6,907","-1,71"
"6,924","-1,731"
"6,941","-1,731"
"6,957","-1,71"
"6,974","-1,689"
"6,991","-1,689"
"7,007","-1,684"
"7,024","-1,649"
"7,041","-1,679"
"7,057","-1,658"
"7,074","-1,628"
"7,091","-1,608"
"7,107","-1,598"
"7,124","-1,587"
"7,141","-1,562"
"7,157","-1,547"
"7,174","-1,531"
"7,191","-1,521"
"7,207","-1,506"
"7,224","-1,485"
"7,241","-1,474"
"7,258","-1,464"
"7,274","-1,454"
"7,291","-1,449"
"7,308","-1,444"
"7,324","-1,434"
"7,341","-1,444"
"7,358","-1,449"
"7,374","-1,454"
"7,391","-1,459"
"7,408","-1,469"
"7,424","-1,484"
"7,441","-1,489"
"7,458","-1,504"
"7,474","-1,515"
"7,491","-1,536"
"7,508","-1,546"
"7,524","-1,572"
"7,541","-1,572"
"7,558","-1,592"
"7,574","-1,613"
"7,591","-1,628"
"7,608","-1,648"
"7,625","-1,669"
"7,641","-1,679"
"7,658","-1,695"
"7,675","-1,705"
"7,691","-1,71"
"7,708","-1,721"
"7,725","-1,721"
"7,741","-1,69"
"7,758","-1,69"
"7,775","-1,68"
"7,791","-1,669"
"7,808","-1,654"
"7,825","-1,643"
"7,841","-1,633"
"7,858","-1,618"
"7,875","-1,618"
"7,891","-1,597"
"7,908","-1,592"
"7,925","-1,572"
"7,942","-1,557"
"7,958","-1,541"
"7,975","-1,536"
"7,992","-1,516"
"8,008","-1,506"
"8,025","-1,49"
"8,042","-1,485"
"8,058","-1,479"
"8,075","-1,469"
"8,092","-1,454"
"8,108","-1,454"
"8,125","-1,464"
"8,142","-1,464"
"8,158","-1,474"
"8,175","-1,479"
"8,192","-1,479"
"8,208","-1,488"
"8,225","-1,504"
"8,242","-1,509"
"8,259","-1,52"
"8,275","-1,535"
"8,292","-1,54"
"8,309","-1,571"
"8,325","-1,597"
"8,342","-1,607"
"8,359","-1,623"
"8,375","-1,643"
"8,392","-1,643"
"8,409","-1,664"
"8,425","-1,669"
"8,442","-1,689"
"8,459","-1,689"
"8,475","-1,71"
"8,492","-1,7"
"8,509","-1,689"
"8,525","-1,689"
"8,542","-1,669"
"8,559","-1,669"
"8,576","-1,664"
"8,592","-1,664"
"8,609","-1,638"
"8,626","-1,628"
"8,642","-1,608"
"8,659","-1,608"
"8,676","-1,597"
"8,692","-1,587"
"8,709","-1,572"
"8,726","-1,556"
"8,742","-1,556"
"8,759","-1,551"
"8,776","-1,536"
"8,792","-1,526"
"8,809","-1,511"
"8,826","-1,506"
"8,842","-1,49"
"8,859","-1,485"
"8,876","-1,485"
"8,893","-1,475"
"8,909","-1,48"
"8,926","-1,485"
"8,943","-1,49"
"8,959","-1,504"
"8,976","-1,504"
"8,993","-1,509"
"9,009","-1,515"
"9,026","-1,52"
"9,043","-1,525"
"9,059","-1,54"
"9,076","-1,576"
"9,093","-1,623"
"9,109","-1,623"
"9,126","-1,628"
"9,143","-1,633"
"9,159","-1,644"
"9,176","-1,644"
"9,193","-1,68"
"9,21","-1,68"
"9,226","-1,69"
"9,243","-1,69"
"9,26","-1,69"
"9,276","-1,685"
"9,293","-1,68"
"9,31","-1,669"
"9,326","-1,669"
"9,343","-1,649"
"9,36","-1,649"
"9,376","-1,649"
"9,393","-1,608"
"9,41","-1,587"
"9,426","-1,587"
"9,443","-1,587"
"9,46","-1,547"
"9,476","-1,542"
"9,493","-1,542"
"9,51","-1,527"
"9,527","-1,506"
"9,543","-1,506"
"9,56","-1,506"
"9,577","-1,491"
"9,593","-1,486"
"9,61","-1,486"
"9,627","-1,486"
"9,643","-1,486"
"9,66","-1,485"
"9,677","-1,49"
"9,693","-1,49"
"9,71","-1,505"
"9,727","-1,51"
"9,743","-1,52"
"9,76","-1,546"
"9,777","-1,546"
"9,793","-1,546"
"9,81","-1,567"
"9,827","-1,587"
"9,844","-1,592"
"9,86","-1,597"
"9,877","-1,633"
"9,894","-1,633"
"9,91","-1,643"
"9,927","-1,643"
"9,944","-1,643"
"9,96","-1,643"
"9,977","-1,664"
"9,994","-1,659"
"10,01","-1,649"
"10,03","-1,659"
"10,04","-1,659"
"10,06","-1,659"
"10,08","-1,643"
"10,09","-1,638"
"10,11","-1,628"
"10,13","-1,602"
"10,14","-1,623"
"10,16","-1,618"
"10,18","-1,607"
"10,19","-1,587"
"10,21","-1,587"
"10,23","-1,572"
"10,24","-1,572"
"10,26","-1,556"
"10,28","-1,541"
"10,29","-1,536"
"10,31","-1,516"
"10,33","-1,516"
"10,34","-1,511"
"10,36","-1,511"
"10,38","-1,506"
"10,39","-1,506"
"10,41","-1,506"
"10,43","-1,506"
"10,44","-1,516"
"10,46","-1,525"
"10,48","-1,525"
"10,49","-1,53"
"10,51","-1,536"
"10,53","-1,541"
"10,54","-1,551"
"10,56","-1,556"
"10,58","-1,556"
"10,59","-1,567"
"10,61","-1,567"
"10,63","-1,577"
"10,64","-1,603"
"10,66","-1,618"
"10,68","-1,633"
"10,69","-1,633"
"10,71","-1,654"
"10,73","-1,654"
"10,74","-1,654"
"10,76","-1,664"
"10,78","-1,649"
"10,79","-1,638"
"10,81","-1,638"
"10,83","-1,638"
"10,84","-1,638"
"10,86","-1,623"
"10,88","-1,618"
"10,89","-1,618"
"10,91","-1,608"
"10,93","-1,603"
"10,94","-1,603"
"10,96","-1,582"
"10,98","-1,577"
"11,01","-1,567"
"11,03","-1,567"
"11,04","-1,556"
"11,06","-1,536"
"11,08","-1,547"
"11,09","-1,547"
"11,11","-1,526"
"11,13","-1,526"
"11,14","-1,52"
"11,16","-1,52"
"11,18","-1,515"
"11,19","-1,515"
"11,21","-1,515"
"11,23","-1,52"
"11,24","-1,52"
"11,26","-1,536"
"11,28","-1,541"
"11,3","-1,551"
"11,31","-1,561"
"11,33","-1,561"
"11,35","-1,561"
"11,36","-1,561"
"11,38","-1,592"
"11,4","-1,592"
"11,41","-1,607"
"11,43","-1,607"
"11,45","-1,623"
"11,46","-1,623"
"11,48","-1,644"
"11,5","-1,644"
"11,51","-1,644"
"11,53","-1,644"
"11,55","-1,654"
"11,56","-1,654"
"11,58","-1,654"
"11,6","-1,654"
"11,61","-1,649"
"11,63","-1,644"
"11,65","-1,638"
"11,66","-1,638"
"11,68","-1,618"
"11,7","-1,618"
"11,71","-1,608"
"11,73","-1,608"
"11,75","-1,597"
"11,76","-1,592"
"11,78","-1,577"
"11,8","-1,577"
"11,81","-1,557"
"11,83","-1,552"
"11,85","-1,541"
"11,86","-1,541"
"11,88","-1,521"
"11,9","-1,521"
"11,91","-1,521"
"11,93","-1,521"
"11,95","-1,536"
"11,96","-1,536"
"11,98","-1,541"
12,"-1,541"
"12,01","-1,541"
"12,03","-1,546"
"12,05","-1,551"
"12,06","-1,556"
"12,08","-1,556"
"12,1","-1,561"
"12,11","-1,572"
"12,13","-1,572"
"12,15","-1,592"
"12,16","-1,592"
"12,18","-1,602"
"12,2","-1,602"
"12,21","-1,608"
"12,23","-1,623"
"12,25","-1,618"
"12,26","-1,623"
"12,28","-1,623"
"12,3","-1,623"
"12,31","-1,623"
"12,33","-1,628"
"12,35","-1,628"
"12,36","-1,628"
"12,38","-1,628"
"12,4","-1,623"
"12,41","-1,618"
"12,43","-1,613"
"12,45","-1,613"
"12,46","-1,608"
"12,48","-1,592"
"12,5","-1,582"
"12,51","-1,582"
"12,53","-1,582"
"12,55","-1,577"
"12,56","-1,561"
"12,58","-1,556"
"12,6","-1,556"
"12,61","-1,546"
"12,63","-1,541"
"12,65","-1,541"
"12,66","-1,541"
"12,68","-1,541"
"12,7","-1,541"
"12,71","-1,541"
"12,73","-1,541"
"12,75","-1,546"
"12,76","-1,546"
"12,78","-1,556"
"12,8","-1,556"
"12,81","-1,556"
"12,83","-1,561"
"12,85","-1,561"
"12,86","-1,572"
"12,88","-1,572"
"12,9","-1,577"
"12,91","-1,577"
"12,93","-1,577"
"12,95","-1,587"
"12,96","-1,607"
"12,98","-1,608"
13,"-1,608"
"13,01","-1,613"
"13,03","-1,618"
"13,05","-1,618"
"13,06","-1,628"
"13,08","-1,628"
"13,1","-1,628"
"13,11","-1,623"
"13,13","-1,623"
"13,15","-1,618"
"13,16","-1,618"
"13,18","-1,613"
"13,2","-1,608"
"13,21","-1,602"
"13,23","-1,602"
"13,25","-1,597"
"13,26","-1,592"
"13,28","-1,587"
"13,3","-1,587"
"13,31","-1,587"
"13,33","-1,557"
"13,35","-1,556"
"13,36","-1,557"
"13,38","-1,552"
"13,4","-1,552"
"13,41","-1,547"
"13,43","-1,547"
"13,45","-1,552"
"13,46","-1,557"
"13,48","-1,557"
"13,5","-1,562"
"13,51","-1,567"
"13,53","-1,567"
"13,55","-1,572"
"13,56","-1,577"
"13,58","-1,577"
"13,61","-1,587"
"13,63","-1,592"
"13,65","-1,597"
"13,66","-1,597"
"13,68","-1,597"
"13,7","-1,597"
"13,71","-1,602"
"13,73","-1,613"
"13,75","-1,618"
"13,76","-1,623"
"13,78","-1,623"
"13,8","-1,623"
"13,81","-1,623"
"13,83","-1,628"
"13,85","-1,623"
"13,86","-1,613"
"13,88","-1,613"
"13,9","-1,603"
"13,91","-1,603"
"13,93","-1,592"
"13,96","-1,582"
"13,98","-1,577"
14,"-1,576"
"14,01","-1,577"
"14,03","-1,577"
"14,05","-1,577"
"14,06","-1,557"
"14,08","-1,557"
"14,1","-1,551"
"14,11","-1,551"
"14,13","-1,551"
"14,15","-1,551"
"14,16","-1,551"
"14,18","-1,556"
"14,2","-1,566"
"14,21","-1,576"
"14,23","-1,582"
"14,25","-1,582"
"14,26","-1,592"
"14,28","-1,602"
"14,3","-1,592"
"14,31","-1,592"
"14,33","-1,592"
"14,35","-1,592"
"14,36","-1,592"
"14,38","-1,597"
"14,4","-1,597"
"14,41","-1,597"
"14,43","-1,608"
"14,45","-1,608"
"14,46","-1,608"
"14,48","-1,613"
"14,5","-1,613"
"14,52","-1,613"
"14,53","-1,608"
"14,55","-1,602"
"14,57","-1,602"
"14,58","-1,602"
"14,6","-1,597"
"14,62","-1,597"
"14,63","-1,592"
"14,65","-1,592"
"14,67","-1,592"
"14,68","-1,587"
"14,7","-1,582"
"14,72","-1,577"
"14,73","-1,567"
"14,75","-1,567"
"14,77","-1,567"
"14,78","-1,567"
"14,8","-1,567"
"14,82","-1,562"
"14,83","-1,562"
"14,85","-1,557"
"14,87","-1,557"
"14,88","-1,557"
"14,9","-1,567"
"14,92","-1,567"
"14,93","-1,577"
"14,95","-1,577"
"14,97","-1,567"
"14,98","-1,557"
15,"-1,567"
"15,02","-1,577"
"15,03","-1,582"
"15,05","-1,587"
"15,07","-1,592"
"15,08","-1,598"
"15,1","-1,598"
"15,12","-1,598"
"15,13","-1,598"
"15,15","-1,598"
"15,17","-1,598"
"15,18","-1,598"
"15,2","-1,608"
"15,22","-1,608"
"15,23","-1,608"
"15,25","-1,608"
"15,27","-1,608"
"15,28","-1,608"
"15,3","-1,613"
"15,32","-1,613"
"15,33","-1,592"
"15,35","-1,592"
"15,37","-1,592"
"15,38","-1,577"
"15,4","-1,577"
"15,42","-1,577"
"15,43","-1,577"
"15,45","-1,577"
"15,47","-1,577"
"15,48","-1,562"
"15,5","-1,562"
"15,52","-1,557"
"15,53","-1,557"
"15,55","-1,557"
"15,57","-1,557"
"15,58","-1,557"
"15,6","-1,557"
"15,62","-1,557"
"15,63","-1,547"
"15,65","-1,547"
"15,67","-1,547"
"15,68","-1,552"
"15,7","-1,577"
"15,72","-1,577"
"15,73","-1,577"
"15,75","-1,577"
"15,77","-1,582"
"15,78","-1,582"
"15,8","-1,582"
"15,82","-1,587"